Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
Sorat Alardh,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a6c8b7158c8d4bcbb51b053b129b1367.jpeg.webp?VersionId=qk2ORHBkO8V.51la10AlsFfs4493Q0xX&amp;itok=L2GFHKm_,https://soratwheels.ca,,,,,,,,,,,,,
SorsX,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://sorsx.com,,,,,,,,,,,,,
SOTI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://soti.net,Exhibitor,H3.B70,Canada,"Technology, Software and IT Services",,Africa; Asia; Europe; LATAM; MENA; North America; South America; UK and Ireland; Middle East,,,1995,500+,soti,,"SOTI is a proven innovator and industry leader for simplifying business mobility solutions by making them smarter, faster and more reliable. With SOTI’s innovative portfolio of solutions, organizations can trust SOTI to elevate and streamline their mobile operations, maximize their ROI and reduce device downtime. Globally, with over 17,000 customers, SOTI has proven itself to be the go-to mobile platform provider to manage, secure and support business-critical devices. With SOTI’s world-class support, enterprises can take mobility to endless possibilities. For more information, visit soti.net."
Soup,,https://soupagency.com.au,Exhibitor,H3.E198,,,,,,,,,,,
Spacey Science,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://drspacey.com,,,,,,,,,,,,,
"Spark For Consulting and Training, Noqta",https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/548f7835f1f64a56b065f74dcf5dbd2c.png.webp?VersionId=nOWLqsfo6DZSJKW2de7sHf0Byf0NTuBs&amp;itok=A-nKxAaV,spark.ps,Exhibitor,H3.I160,,,,,,,,,spark-consulting-&-training,,A leading management consulting firm that provides services to various sectors in Palestine and neighboring countries with world class services.
SparkleHaze,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/da6a964cc8884122b78fbad16795662c.png.webp?VersionId=jE1PnVA7nI8wR.ftVbkPACa7sM.6s_mW&amp;itok=3Yz-oCcM,https://sparklehaze.com,,,,,,,,,,,,,
Spellbound Company,,https://spellbound.io,Exhibitor,H4.J20,,,,,,,,,,,
Speridian,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/d06637e7b28649799a29b9b5cea1eca7.png.webp?VersionId=zkODduYrDTj0jmExr1t5OTutyzGuUQvO&amp;itok=rw5QrR2A,https://speridian.com,Exhibitor,H1.K40,,"Technology, Software and IT Services",,Middle East,Pre-IPO,B2C,2003,500+,,,"Speridian Technologies (Registered in KSA as ST Infosystems International for Information Technology, We are a specialized IT professional services organization, delivering high-quality, cost-effective technology solutions to drive business transformation for the public and private sectors to our global clients. Speridian is a US headquartered organization that specializes in the implementation of CRM & ERP System. Speridian has extensive experience of working across large Groups (having Multiple Verticals), Healthcare, BFSI, Public Sector, Real Estate and Manufacturing etc. Speridian has a team of qualified consultants who are spread across US, Middle East, India & Pakistan. We have more than 3200+ resources certified in CRM and ERP. Speridian’s commitment to Middle East is evidenced by our list of customers and a large share of our services which are based on the public & private sectors. We bring a wealth of experience, a customer-centric approach, and a commitment to diversity, compliance, and excellence in delivery."
Spiders AI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/bcac6bf2f7144643a66c0669a55040eb.png.webp?VersionId=lIoRT6HuwYR.7MsTIsfG0E_nLvKUvcem&amp;itok=cQXJJ29N,https://spiders.ai,,,,,,,,,,,,,
SplashBI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1d7a3b769e1a410b86e84594e0af2303.png.webp?VersionId=8JlRFJ1W11JOmBBPVmIBVdJm55kKv9u.&amp;itok=IvJEAsq8,www.splashbi.com,Exhibitor,H1.K40,United Arab Emirates,,,,No Funding Yet/Bootstrapped,B2B,2014,250-500,splash-bi,,"SplashBI is a governed enterprise intelligence platform that unifies data integration, business intelligence, and AI into a single, trusted foundation. Built to work with the systems organizations already run, ERP, HR, CRM, and cloud data warehouses, SplashBI preserves business meaning, security, and governance from data ingestion through AI-generated insight. Finance, HR, and operations teams use SplashBI to get answers through natural-language conversation, self-serve analytics, or pre-built reporting, without sacrificing accuracy or control. With 100+ pre-built connectors, 3,500+ KPIs, and 550+ enterprise customers, SplashBI helps organizations move from fragmented dashboards to governed, actionable decisions, on their data, their cloud, and their AI model of choice."
Spoilz Games - Ghanaim Company Technical,,https://spoilz.studio,,,,,,,,,,,,,
STAMP,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/17d99ea9b0914514a627fafdd95db7e9.png.webp?VersionId=8Wp4544fbhOkKi.sSWYsKV1hqVQSsJHU&amp;itok=C2U7S30V,https://stamps.com,,,,,,,,,,,,,
Starburst,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://starburst.io,Exhibitor,H5.E20,,,,,,,,,,,
Starkdata,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/0bde7e3170bd400fb2c0ab01b7e3a76d.jpeg.webp?VersionId=gl0QJnj_KpiWNUZwBBapolezAoBSgV4F&amp;itok=NZDvtWGj,https://starkdata.ai,,,,,,,,,,,,,
START X,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://startx.com,Exhibitor,H1A.F30,,,,,,,,,,,
Starvania,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/e7178a4195524cde9f9ccdb626256c89.png.webp?VersionId=TnfQofzMKamq8SY93vmR585TijTxINVD&amp;itok=tOmzNLGQ,https://starvania.com,,,,,,,,,,,,,
Stavst,,https://stavstaxi.se,,,,,,,,,,,,,
stc,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/90d499523ee44f619773b273cfb4cca7.jpeg.webp?VersionId=oD28zPfP9tbiMRqehNV5xv2IRABrbB10&amp;itok=5tS6bPpl,https://stc.com.sa,Exhibitor,H1.K10,Saudi Arabia,,,,,,,,stc,stc,"stc is a world-class digital leader providing innovative services and platforms to customers emphasizing cutting edge, technology driven solutions with a focus on the future. As a decidedly customer centric company for clients and employees they are committed to the quality of life program of Vision 2030. Positioned as the leading digital operator in KSA, stc are enabling the digital transformation with the best possible solutions for their clients. stc core brand values of dynamism, devotion and drive, are equally balanced by their objectives to be a responsible, caring and inclusive company."
STEAM Minds,,https://steamminds.org,,,,,,,,,,,,,
Stellisys,,https://stellisys.com,Exhibitor,H3.E108,,,,,,,,,,,
Stepinside,,https://stepinside.me,Exhibitor,H1A.E40,,,,,,,,,,,
Stock On Fire,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/5f2e74f454f1410d9617c1518058fea6.jpeg.webp?VersionId=lL6P3nNlywK4jdlRgQ1evUYmeoBDmsUd&amp;itok=SZh615Z_,https://stockonfire.com,,,,,,,,,,,,,
STOCKONES,,https://stockones.com,Exhibitor,H1A.F30,,,,,,,,,,,
"STONKAM CO., LTD.",https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://stonkam.com,Exhibitor,H5.I10,China,"Technology, Software and IT Services",,Middle East,,B2B,2003,500+,stonkam,,"Found in 2003, STONKAM CO., LTD honored as a National “Little Giant” Enterprise, is a national high-tech enterprise, integrating R&D, transnational intelligent manufacturing and sales service for our customers. With advanced production bases established in Guangzhou, China and Thailand, STONKAM have formed a synergistic global production layout through coordinated operations between the two countries. We have been dedicated to the field of AI imaging and intelligent vehicles, and have built up a rich technological library for the development of vehicle monitoring and vision solution as well as proactive safety system. We are recognized as Guangdong Intelligent Interactive Vehicle Assisted Driving System and Monitoring Platform Engineering Technology Research Center. We are also thrilled to be accredited by CNAS on our in-house test centre. 22 years of development and innovation in this field have impowered STONKAM to be a global leader in intelligent vehicle safety solutions."
Strataphy,,https://strataphy.com,,,,,,,,,,,,,
Strategic Systems Company (STIRA),https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/795a839b00cb4f4a8ceb304a0f4da1ac.jpeg.webp?VersionId=URDwUnux0HojJwx6SY9WufAqei8KF1xC&amp;itok=vTqbEn6R,https://stira.sa/,Exhibitor,H3.D120,Saudi Arabia,"Other; Technology, Software and IT Services",,Middle East,,B2B; B2G,2015,100-250,strategic-system-co,,"STIRA is a Saudi engineering company established in 2015, specializing in electro-mechanical and optical systems and advanced engineering solutions. STIRA focuses on developing national technologies to the highest global standards meeting national requirements and aligning with Saudi Vision 2030 through research and operational excellence, and by building sustainable, internationally competitive national capabilities."
Strategy (Formerly MicroStrategy),https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/41b7f0070f8742b6808b2b281f9606f8.png.webp?VersionId=SfeAJekEiby3Hy3fPaOQIamV64.1PpfX&amp;itok=3e17X8Eu,https://software.strategy.com/,Exhibitor,H5.I30,United States,"Technology, Software and IT Services",,Africa; MENA,,B2B,,500+,strategy,,"Strategy (formerly MicroStrategy) is a global leader in enterprise analytics and AI-powered business intelligence. We help organizations turn trusted data into trusted decisions by connecting data, analytics and AI through a governed semantic foundation.With Strategy’s Universal Semantic Layer, organizations can give people, applications and AI agents consistent access to the same business definitions, KPIs and context; regardless of the underlying data, model or platform.For enterprises accelerating AI adoption, Strategy provides the flexibility, governance and trusted intelligence needed to scale AI with confidence."
SUDO Consultants,,https://sudoconsultants.com,Exhibitor,H1.B50,,,,,,,,,,,
SUNTRO TECHNOLOGY CO. LTD,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/0c4a30ab12d64f318d436f7379cdc2e4.png.webp?VersionId=n2hfGvnMToeFaf1kvt8HGsKXxoduWXT_&amp;itok=Ib2xQg2F,www.suntrotech.com,Exhibitor,H3.G187,China,Telecommunications,,Asia,Seed,B2B,2003,250-500,,,"SUNTRO Technology is a leading designer and manufacturer of wireless infrastructure solutions for global mobile networks.With over 25 years of RF expertise, SUNTRO delivers innovative BTS antenna and in-building coverage solutions trusted by mobile operators, tower companies, and system integrators worldwide.Our portfolio covers:Base Station Antennas — 4–12 port solutions and in-building coverage antennasIn-Building DAS Solutions — 5G Active DAS, Fiber Optic DAS, and Repeater solutionsRF Components — high-performance RF components for wireless networksOEM/ODM Solutions — customized solutions for 2G, 3G, 4G LTE, and 5G deployments"
Superbutler Arabia,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b21343ba429b4422ac30ef70609872b2.png.webp?VersionId=NV.BdQjBv8UZU.i3EQVptE6FErjFBS0f&amp;itok=sqeKb_la,https://superbutler.ai,,,,,,,,,,,,,
Supermicro,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/f5764fa7e1fc4a90b6eb23b53b4e7ca9.png.webp?VersionId=8PceoQ_9TCdAIzM6MItAN7VDpJKG06TE&amp;itok=mIpSqJm7,https://www.supermicro.com/en/,Exhibitor,H5.B50,United States,"Technology, Software and IT Services",AI & Deep Tech; Technology & Telecommunications,Asia; Europe; MENA; North America,N/A,B2B,1993,500+,supermicro,supermicro_smci,"Supermicro® (NASDAQ: SMCI), with 30+ years of leadership in AI, Enterprise, cloud, and 5G Telco/Edge Infrastructure solutions, pioneers the industry with Building Block Solutions® and Green Computing servers. Its customizable, efficient, and sustainable IT offerings such as liquid-cooling technology redefine performance standards and environmental responsibility."
Superops,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/20535f60ba224062923f7ff5acf1b32c.png.webp?VersionId=usvfbrKuNvZG8MVErH64VV2fP1sfKp_Q&amp;itok=hrP-YKAs,https://assuretek.net/assure-it-sol.php,Exhibitor,H3.C80,Saudi Arabia,"Technology, Software and IT Services",,Middle East,No Funding Yet/Bootstrapped,B2B,2014,51-99,assure-techno-it-solution-est,,"Founded in 2014, Assuretek Technologies drives meaningful digital transformation for businesses across the Kingdom of Saudi Arabia and the broader Gulf region. We specialize in translating complex IT ecosystems into seamless, managed environments, focusing on Cloud Infrastructure, IT Service Management (ITSM), Cybersecurity, and Customer Experience (CX) platforms. By leveraging deep regional insights and strategic partnerships with global vendors like Freshworks, Microsoft, AWS, and Fortinet, we empower organizations to build AI-ready cloud foundations and modernize their architecture. With a dedicated team of over 50 experts and a track record of 1,000+ successful projects across 8 countries, Assuretek bridges enterprise infrastructure with business-centric innovation to help companies scale with total confidence."
SupplyTech,,https://supplytechnologies.com,,,,,,,,,,,,,
Sustainability Solutions,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://sustainability-solutions.com,,,,,,,,,,,,,
Swarm Robotics,,https://swarmrobotics.io,Exhibitor,H1A.F30,Saudi Arabia,,,,,,,,,,
Swarm Technologies,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://swarmtech.net,Exhibitor,H2.S30,,,,,,,,,,,
Sword Group,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/869c4501ac444439a7746a4d44c03f12.png.webp?VersionId=R1XODIVyhsX0lvzx5lKmbUhuiZMN7BXH&amp;itok=o_qrjBkU,https://www.sword-group.com,Exhibitor,H4.E70,Saudi Arabia,"Technology, Software and IT Services",,Europe; Middle East,,B2B,2000,500+,sword-group,,"Sword Saudi Arabia is the KSA operating company of Sword Group, an international technology and digital transformation company founded in 2000. Combining local expertise with global delivery capabilities, Sword supports government and enterprise organisations through secure Data and AI solutions, Liferay digital experience platforms, enterprise applications, cloud and cybersecurity, application modernisation and managed services. From strategy and proof of value to implementation and ongoing optimisation, Sword delivers scalable solutions aligned with Saudi Arabia’s security, data-residency and digital transformation priorities."
